Sample in Buffer,Sample in Window,TRIGGER,u_fsm/u_engine/state[2:0],u_fsm/u_engine/inject_en_latch,u_fsm/u_engine/sym_a_latch[15:0],u_fsm/u_engine/dec_out_a[15:0],u_fsm/u_engine/dec_valid_a,u_fsm/u_engine/comp_result_a,u_fsm/u_engine/comp_result_b,u_fsm/u_engine/dec_start,u_fsm/u_engine/comp_latency_a[7:0],u_fsm/u_engine/enc_out_a_latch[40:0],u_fsm/u_engine/inj_out_a_latch[40:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,"iSTATE",1,284b,cdf0,0,0,0,0,18,0234b1b17a1,023491b17a1
1,1,0,"iSTATE0",1,284b,cdf0,0,0,0,0,18,0234b1b17a1,023491b17a1
2,2,0,"iSTATE1",1,284b,cdf0,0,0,0,0,18,0234b1b17a1,023491b17a1
3,3,0,"iSTATE1",1,284b,cdf0,0,0,0,0,18,0234b1b17a1,023491b17a1
4,4,0,"iSTATE2",1,ef76,cdf0,0,0,0,0,18,0234b1b17a1,023491b17a1
5,5,0,"iSTATE2",1,ef76,cdf0,0,0,0,0,18,0234b1b17a1,023491b17a1
6,6,0,"iSTATE2",1,ef76,cdf0,0,0,0,0,18,0234b1b17a1,023491b17a1
7,7,0,"iSTATE3",1,ef76,cdf0,0,0,0,0,18,08876e81822,023491b17a1
8,8,0,"iSTATE3",1,ef76,cdf0,0,0,0,0,18,08876e81822,023491b17a1
9,9,0,"iSTATE3",1,ef76,cdf0,0,0,0,0,18,08876e81822,023491b17a1
10,10,1,"iSTATE4",1,ef76,cdf0,0,0,0,1,18,08876e81822,08876e81826
11,11,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
12,12,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
13,13,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
14,14,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
15,15,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
16,16,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
17,17,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
18,18,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
19,19,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
20,20,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
21,21,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
22,22,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
23,23,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
24,24,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
25,25,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
26,26,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
27,27,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
28,28,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
29,29,0,"iSTATE4",1,ef76,cdf0,0,0,0,0,18,08876e81822,08876e81826
30,30,0,"iSTATE4",1,ef76,0376,1,0,0,0,18,08876e81822,08876e81826
31,31,0,"iSTATE5",1,ef76,0376,0,0,0,0,18,08876e81822,08876e81826
32,32,0,"iSTATE6",1,ef76,0376,0,0,0,0,18,08876e81822,08876e81826
33,33,0,"iSTATE",1,ef76,0376,0,0,0,0,18,08876e81822,08876e81826
34,34,0,"iSTATE",1,ef76,0376,0,0,0,0,18,08876e81822,08876e81826
35,35,0,"iSTATE0",1,ef76,0376,0,0,0,0,18,08876e81822,08876e81826
36,36,0,"iSTATE1",0,ef76,0376,0,0,0,0,18,08876e81822,08876e81826
37,37,0,"iSTATE1",0,ef76,0376,0,0,0,0,18,08876e81822,08876e81826
38,38,0,"iSTATE2",0,77bb,0376,0,0,0,0,18,08876e81822,08876e81826
39,39,0,"iSTATE2",0,77bb,0376,0,0,0,0,18,08876e81822,08876e81826
40,40,0,"iSTATE2",0,77bb,0376,0,0,0,0,18,08876e81822,08876e81826
41,41,0,"iSTATE3",0,77bb,0376,0,0,0,0,18,044bb75e411,08876e81826
42,42,0,"iSTATE3",0,77bb,0376,0,0,0,0,18,044bb75e411,08876e81826
43,43,0,"iSTATE3",0,77bb,0376,0,0,0,0,18,044bb75e411,08876e81826
44,44,0,"iSTATE4",0,77bb,0376,0,0,0,1,18,044bb75e411,044bb75e411
45,45,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
46,46,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
47,47,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
48,48,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
49,49,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
50,50,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
51,51,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
52,52,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
53,53,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
54,54,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
55,55,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
56,56,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
57,57,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
58,58,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
59,59,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
60,60,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
61,61,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
62,62,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
63,63,0,"iSTATE4",0,77bb,0376,0,0,0,0,18,044bb75e411,044bb75e411
64,64,0,"iSTATE4",0,77bb,b2bb,1,0,0,0,18,044bb75e411,044bb75e411
65,65,0,"iSTATE5",0,77bb,b2bb,0,0,0,0,18,044bb75e411,044bb75e411
66,66,0,"iSTATE6",0,77bb,b2bb,0,0,0,0,18,044bb75e411,044bb75e411
67,67,0,"iSTATE",0,77bb,b2bb,0,0,0,0,18,044bb75e411,044bb75e411
